911,2,8840
263,6,38354
152,5,21730
284,4,13820
160,2,4780
757,2,4321
78,2,4325
53,8,69126
69,9,273753
75,5,33040
457,4,15314
110,10,84978
203,10,85866
279,8,484592
665,7,54151
339,7,42023
925,7,88300
308,6,32298
424,8,54964
115,5,56404
11,11,435483
379,5,38632
274,11,255072
21,3,47182
622,10,105544
356,5,26416
573,3,10480
76,9,102410
575,9,85831
988,7,53008
160,6,26664
77,2,3431
525,9,80575
478,2,3694
253,6,251814
118,7,75927
357,3,10244
677,8,60195
400,10,94914
150,10,101912
34,10,826135
469,2,7067
487,11,270070
33,11,1048641
188,6,149431
543,2,11274
577,8,376133
443,3,60024
26,7,579047
763,8,246381
89,11,787267
194,10,411073
650,5,147539
325,8,285314
315,7,277620
653,6,151348
805,8,275575
866,11,434796
595,6,191938
769,9,420898
422,2,11461
730,10,452458
466,11,451707
32,5,73703
489,2,9346
805,5,87601
410,3,21139
98,8,353350
70,3,33199
480,11,720345
151,3,19643
14,3,17773
924,7,2960839
479,7,192399
741,4,51749
471,3,25678
440,6,145184
122,10,450287
358,10,409174
441,7,814754
246,8,263006
906,8,521208
635,6,491383
442,3,43913
316,4,66490
346,3,44381
160,4,101903
435,8,378056
163,2,11823
472,10,983902
338,7,198543
303,5,101604
271,11,204311
851,10,92635
633,4,16878
985,7,45645
228,6,39763
676,9,75423
784,6,2974364
351,4,63754
721,9,263502
327,11,1014272
394,7,163723
467,9,389206
254,7,231972
968,2,8012
653,9,213058
125,2,7513
287,6,193194
360,6,135793
352,3,15702
84,3,14534
160,4,47936
840,5,63781
917,5,51955
60,5,67250
192,7,221631
66,8,341052
337,8,248336
775,11,664501
1008,10,1066082
893,2,9341
569,6,108711
902,5,65804
723,9,299629
775,3,13709
373,5,106151
319,10,571055
829,7,146641
970,6,166423
903,9,336818
174,7,224746
718,3,16864
185,4,48389
370,5,57856
229,11,390268
798,4,22992
81,8,330524
164,10,227584
790,10,56820
784,11,85755
819,11,293040
278,4,71209
853,3,20033
577,2,10856
494,6,137198
80,4,113186
752,3,33996
759,10,350945
143,11,376281
128,4,73790
368,3,15911
35,10,626373
266,5,101119
513,11,495798
856,6,137371
673,6,104897
71,8,851236
558,8,273910
770,9,7454943
933,8,223878
992,6,135172
198,10,447442
519,11,399879
606,11,125332
743,8,36817
695,11,71570
109,5,14654
421,7,213584
922,5,127296
909,2,7314
296,2,19428
28,3,15375
297,11,12281510
441,7,138913
723,2,5734
408,5,79081
228,6,39305
132,2,10778
790,4,19217
520,9,52747
342,11,79211
43,10,88493
911,8,48417
726,2,3640
750,10,63409
10,9,314202
578,4,19623
979,6,37926
755,11,127848
579,7,50046
12,8,352272
420,6,58251
597,3,15590
158,2,8718
281,2,8251
889,7,160494
417,6,60021
656,7,187250
51,7,179511
514,5,31700
203,9,52528
406,11,160827
323,2,12441
506,4,29394
66,4,37031
184,8,169451
567,10,127411
454,4,23820
241,6,23604
728,9,122588
933,11,476906
164,10,103172
298,10,211678
402,8,181333
540,8,137061
878,2,44657
